Id,DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,InformationType,Year,WashingtoniansAffectedRange,BreachLifecycleRange
9561,3/28/2018 0:00,4/11/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Name,2018,"10,000-49,999",100-199
9561,3/28/2018 0:00,4/11/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Financial & Banking Information,2018,"10,000-49,999",100-199
9561,3/28/2018 0:00,4/11/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Other,2018,"10,000-49,999",100-199
9562,3/28/2018 0:00,4/13/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Name,2018,"1,000-9,999",100-199
9562,3/28/2018 0:00,4/13/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Financial & Banking Information,2018,"1,000-9,999",100-199
9562,3/28/2018 0:00,4/13/2018 0:00,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Other,2018,"1,000-9,999",100-199
9563,3/14/2018 0:00,4/13/2018 0:00,Unauthorized Access,,,Inogen Inc.,,518,Health,,Name,2018,500-999,Unknown
9563,3/14/2018 0:00,4/13/2018 0:00,Unauthorized Access,,,Inogen Inc.,,518,Health,,Health Insurance Policy or ID Number,2018,500-999,Unknown
9563,3/14/2018 0:00,4/13/2018 0:00,Unauthorized Access,,,Inogen Inc.,,518,Health,,Medical Information,2018,500-999,Unknown
9563,3/14/2018 0:00,4/13/2018 0:00,Unauthorized Access,,,Inogen Inc.,,518,Health,,Other,2018,500-999,Unknown
9565,3/15/2018 0:00,4/24/2018 0:00,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Name,2018,"1,000-9,999",100-199
